t (ms),V (mV)
0,16.03
1.001,15.98
2.001,15.92
3,15.86
4.001,15.81
5.001,15.75
6.001,15.69
7,15.63
7.999,15.57
9.001,15.52
10,15.46
11,15.4
12,15.34
13,15.28
14.001,15.22
15.001,15.16
16,15.1
17,15.05
18,14.98
19,14.93
20,14.87
21,14.8
22,14.75
23.001,14.69
24,14.62
25.001,14.57
26.001,14.51
27,14.46
28,14.4
29.001,14.35
30.001,14.29
31.001,14.23
32.001,14.18
33,14.13
34,14.07
35,14.01
36.001,13.97
37,13.91
38.001,13.85
39,13.81
40,13.76
41.001,13.71
42.001,13.65
43.001,13.61
44,13.56
45.001,13.51
46.001,13.45
47.001,13.41
48,13.36
49.001,13.31
50,13.26
51.001,13.21
52,13.16
53.001,13.11
54.001,13.07
55.001,13.02
56,12.97
57,12.93
58,12.88
59.001,12.84
60.001,12.79
61,12.74
62.001,12.7
63,12.65
64.001,12.61
65.001,12.57
66,12.52
67.001,12.48
68.001,12.43
69.001,12.39
70.001,12.35
71.001,12.3
72.001,12.26
73,12.21
74,12.17
75,12.13
76.001,12.09
77.001,12.04
78.001,12
79.001,11.96
80.001,11.92
81.001,12.12
82.001,12.06
83.001,12.02
84.001,11.97
85.001,11.93
86,11.89
87,11.84
88,11.8
89.001,11.76
90.001,11.72
91.001,11.68
92,11.64
93,11.59
94,11.55
95,11.51
96,11.47
97,11.43
98.009,11.45
99,11.35
100.001,11.32
101.001,11.28
102.001,11.24
103.001,11.2
104,11.16
105,11.12
106.001,11.09
107.001,11.05
108,11.01
109,10.97
110.001,10.94
111.001,10.9
112.001,10.86
113,10.82
114.001,10.79
115.001,10.75
116,10.72
117,10.69
118.001,10.65
119,10.61
120,10.58
120.999,10.54
122,10.51
122.999,10.47
123.999,10.43
125,10.4
126,10.37
126.999,10.33
127.999,10.3
128.999,10.25
129.999,10.23
130.999,10.19
132,10.16
132.999,10.12
133.999,10.09
135,10.06
135.999,10.02
137.001,9.99
138.001,9.96
139.077,9.93
140.001,9.89
141.002,9.86
142.001,9.82
143.001,9.79
144.001,9.76
145,9.72
146.001,9.69
147.001,9.66
148,9.63
149,9.59
150,9.56
151,9.53
152,9.5
153.001,9.47
154,9.43
155.001,9.4
156,9.37
157.001,9.34
158.001,9.31
159,9.28
160,9.25
161.002,9.22
162,9.19
163,9.16
164,9.13
165,9.1
166,9.07
167,9.05
168,9.02
169,8.99
170,8.96
171,8.93
172.001,8.9
173,8.87
174.001,8.84
175,8.81
175.999,8.79
177.001,8.76
178.001,8.73
179.001,8.7
180,8.68
181,8.66
182,8.63
183,8.61
184.001,8.58
185.001,8.56
186.001,8.52
187,8.51
188.001,8.48
189.001,8.46
190.001,8.42
191,8.4
192.001,8.38
193,8.35
194.001,8.33
195,8.3
196,8.27
197.001,8.25
198,8.22
199.001,8.19
200.001,8.17
201.001,8.14
202,8.11
203,8.08
204,8.05
205,8.02
206.001,8
206.999,7.96
208.001,7.94
209,7.91
210.001,7.89
211.001,7.86
212,7.82
213.001,7.8
214,7.77
215.001,7.74
216,7.71
217.001,7.68
218,7.65
219.001,7.63
220.001,7.6
221.002,7.58
222,7.54
223.001,7.52
224,7.48
