t (ms),V (mV)
0,13.35
1.017,13.27
2.017,13.2
3.017,13.13
4.017,13.06
5.017,12.99
6.018,12.93
7.018,12.86
8.017,12.79
9.017,12.72
10.017,12.65
11.017,12.59
12.017,12.52
13.017,12.45
14.018,12.39
15.017,12.32
16.018,12.26
17.018,12.19
18.018,12.13
19.017,12.06
20.018,12
21.017,11.93
22.017,11.87
23.017,11.81
24.017,11.74
25.017,11.68
26.017,11.62
27.017,11.56
28.018,11.5
29.017,11.43
30.017,11.38
31.017,11.32
32.017,11.31
33.018,11.21
34.017,11.14
35.018,11.08
36.017,11.02
37.018,10.96
38.018,10.91
39.018,10.85
40.017,10.79
41.018,10.74
42.017,10.68
43.017,10.62
44.017,10.57
45.016,10.51
46.016,10.45
47.016,10.4
48.016,10.34
49.016,10.28
50.016,10.23
51.017,10.18
52.016,10.12
53.017,10.07
54.016,10.01
55.017,9.96
56.017,9.91
57.017,9.85
58.017,9.8
59.018,9.75
60.018,9.7
61.018,9.65
62.017,9.59
63.018,9.54
64.018,9.49
65.018,9.44
66.018,9.39
67.018,9.34
68.018,9.29
69.018,9.24
70.017,9.19
71.018,9.14
72.018,9.09
73.018,9.04
74.017,8.99
75.018,8.95
76.018,8.9
77.018,8.85
78.017,8.8
79.018,8.76
80.018,8.71
81.017,8.66
82.018,8.62
83.018,8.57
84.018,8.53
85.017,8.48
86.018,8.44
87.017,8.39
88.018,8.35
89.017,8.3
90.018,8.26
91.018,8.22
92.017,8.17
93.017,8.13
94.018,8.09
95.018,8.05
96.017,8
97.017,7.96
98.018,7.92
99.018,7.88
100.017,7.83
101.018,7.79
102.017,7.75
103.017,7.71
104.017,7.67
105.017,7.63
106.018,7.59
107.018,7.55
108.017,7.51
109.018,7.47
110.018,7.43
111.017,7.39
112.017,7.35
113.018,7.32
114.018,7.28
115.018,7.24
116.017,7.2
117.017,7.16
118.017,7.12
119.017,7.09
120.018,7.05
121.018,7.01
122.018,6.97
123.017,6.94
124.018,6.9
125.018,6.86
126.017,6.82
127.018,6.79
128.018,6.75
129.017,6.71
130.017,6.68
131.018,6.64
132.017,6.61
133.018,6.57
134.018,6.53
135.017,6.49
136.018,6.46
137.018,6.42
138.018,6.39
139.017,6.35
140.017,6.31
141.018,6.28
142.017,6.24
143.018,6.21
144.017,6.17
145.017,6.14
146.018,6.11
147.017,6.07
148.018,6.04
149.017,6
150.017,5.97
151.017,5.94
152.017,5.9
153.017,5.87
154.017,5.84
155.018,5.81
156.017,5.77
157.017,5.74
158.018,5.71
159.018,5.68
160.018,5.65
161.017,5.62
162.017,5.58
163.019,5.55
164.017,5.52
165.017,5.49
166.017,5.46
167.017,5.43
168.017,5.41
169.017,5.37
170.017,5.35
171.017,5.31
172.017,5.29
173.018,5.26
174.017,5.3
175.017,5.28
176.017,5.25
177.017,5.23
178.018,5.2
179.018,5.17
180.017,5.14
181.017,5.12
182.017,5.09
183.017,5.06
184.017,5.03
185.018,5.01
186.017,4.98
187.017,4.95
188.017,4.93
189.018,4.9
190.017,4.87
191.017,4.84
192.018,4.82
193.017,4.79
194.018,4.77
195.018,4.74
196.017,4.71
197.018,4.69
198.017,4.66
199.017,4.63
200.017,4.61
201.017,4.58
202.017,4.56
203.017,4.53
204.017,4.51
205.017,4.48
206.017,4.46
207.017,4.43
208.017,4.4
209.017,4.38
210.018,4.36
211.017,4.33
212.018,4.31
213.017,4.28
214.017,4.26
215.017,4.23
216.017,4.21
217.017,4.19
218.017,4.16
219.017,4.14
220.017,4.11
