t (ms),V (mV)
0,17.35
0.95,17.28
1.9,17.32
2.877,17.3
3.876,17.28
4.877,17.27
5.876,17.25
6.877,17.23
7.877,17.21
8.876,17.19
9.877,17.18
10.877,17.16
11.877,17.14
12.877,17.12
13.877,17.1
14.877,17.08
15.877,17.06
16.876,17.03
17.876,17.01
18.877,17
19.876,16.97
20.877,16.96
21.876,16.93
22.877,16.92
23.876,16.89
24.876,16.87
25.877,16.86
26.877,16.84
27.877,16.82
28.877,16.8
29.877,16.78
30.876,16.76
31.876,16.74
32.877,16.73
33.877,16.71
34.877,16.69
35.877,16.67
36.876,16.65
37.876,16.63
38.877,16.62
39.877,16.6
40.876,16.58
41.877,16.57
42.877,16.55
43.876,16.53
44.876,16.51
45.877,16.5
46.877,16.48
47.876,16.46
48.877,16.45
49.877,16.43
50.876,16.41
51.877,16.4
52.877,16.38
53.876,16.36
54.877,16.35
55.876,16.33
56.877,16.32
57.876,16.3
58.877,16.29
59.877,16.27
60.877,16.26
61.876,16.24
62.877,16.23
63.877,16.21
64.876,16.19
65.876,16.18
66.877,16.17
67.876,16.15
68.876,16.14
69.877,16.13
70.876,16.11
71.877,16.1
72.877,16.09
73.876,16.07
74.877,16.06
75.876,16.04
76.876,16.03
77.876,16.02
78.877,16.01
79.876,15.99
80.876,15.98
81.877,15.98
82.876,15.96
83.877,15.95
84.876,15.93
85.876,15.92
86.877,15.91
87.876,15.89
88.876,15.88
89.876,15.87
90.876,15.85
91.876,15.84
92.876,15.83
93.877,15.82
94.876,15.8
95.876,15.79
96.876,15.78
97.876,15.77
98.877,15.76
99.876,15.74
100.877,15.73
101.876,15.72
102.876,15.71
103.877,15.7
104.876,15.68
105.877,15.67
106.877,15.66
107.876,15.64
108.876,15.63
109.876,15.62
110.877,15.61
111.877,15.6
112.877,15.59
113.876,15.57
114.876,15.56
115.877,15.55
116.876,15.53
117.877,15.53
118.876,15.51
119.876,15.5
120.877,15.49
121.877,15.48
122.877,15.47
123.876,15.45
124.877,15.44
125.876,15.43
126.876,15.41
127.876,15.4
128.876,15.39
129.876,15.38
130.877,15.36
131.876,15.35
132.877,15.35
133.876,15.33
134.876,15.32
135.877,15.31
136.877,15.3
137.877,15.29
138.876,15.27
139.876,15.26
140.877,15.25
141.876,15.24
142.876,15.22
143.876,15.21
144.877,15.2
145.877,15.19
146.877,15.18
147.876,15.16
148.877,15.15
149.876,15.14
150.877,15.13
151.877,15.12
152.876,15.1
153.877,15.09
154.876,15.08
155.877,15.07
156.876,15.05
157.877,15.03
158.876,15.03
159.877,15.01
160.876,15
161.877,14.98
162.877,14.97
163.877,14.95
164.876,14.93
165.877,14.92
166.877,14.91
167.876,14.89
168.877,14.88
169.876,14.86
170.877,14.85
171.877,14.83
172.876,14.83
173.876,14.81
174.877,14.8
175.877,14.79
176.876,14.77
177.877,14.76
178.876,14.75
179.877,14.74
180.876,14.72
181.877,14.72
182.877,14.71
183.877,14.7
184.876,14.69
185.877,14.69
186.877,14.68
187.876,14.67
188.876,14.66
189.877,14.66
190.876,14.65
191.877,14.65
192.877,14.64
193.876,14.63
194.876,14.62
195.876,14.61
196.877,14.61
197.877,14.6
198.876,14.59
199.876,14.58
200.877,14.57
201.876,14.56
202.877,14.55
203.877,14.54
204.877,14.53
205.876,14.52
206.877,14.5
207.876,14.49
208.877,14.48
209.877,14.46
210.876,14.45
211.876,14.44
212.877,14.43
213.876,14.42
214.876,14.4
215.877,14.39
216.876,14.37
217.876,14.36
218.877,14.35
219.877,14.34
220.876,14.32
221.876,14.31
222.876,14.31
223.877,14.29
224.876,14.28
225.877,14.26
226.877,14.25
227.876,14.25
228.876,14.24
229.877,14.22
230.876,14.21
231.876,14.2
232.877,14.19
233.876,14.18
234.876,14.17
235.877,14.16
236.877,14.15
237.876,14.14
238.877,14.13
239.876,14.12
240.877,14.11
241.876,14.11
242.876,14.09
243.876,14.08
244.876,14.07
245.876,14.06
246.876,14.05
247.876,14.04
248.877,14.04
249.876,14.03
250.877,14.02
251.877,14.01
252.876,13.99
253.876,13.98
254.876,13.97
255.876,13.96
256.877,13.96
257.876,13.95
258.876,13.94
259.877,13.92
260.877,13.91
261.876,13.9
262.876,13.89
263.876,13.88
264.876,13.87
265.876,13.87
266.877,13.86
267.877,13.84
268.876,13.84
269.877,13.83
270.876,13.82
271.876,13.81
272.877,13.8
273.876,13.79
274.876,13.78
275.876,13.77
276.876,13.76
277.877,13.75
278.877,13.74
279.875,13.74
280.877,13.72
281.876,13.71
282.876,13.71
283.875,13.7
284.876,13.69
285.877,13.67
286.877,13.66
287.876,13.66
288.877,13.64
289.876,13.63
290.877,13.61
291.877,13.61
292.877,13.6
293.876,13.59
294.877,13.58
295.876,13.57
296.877,13.56
297.877,13.55
298.876,13.55
299.876,13.54
300.876,13.53
301.877,13.52
302.877,13.51
303.877,13.5
304.877,13.49
305.876,13.48
306.877,13.47
307.877,13.46
308.877,13.45
309.877,13.44
310.877,13.43
311.876,13.42
312.876,13.41
313.876,13.4
314.877,13.4
315.877,13.38
316.876,13.38
317.877,13.37
318.877,13.36
319.876,13.35
320.876,13.34
321.876,13.33
322.877,13.32
323.877,13.31
324.877,13.3
325.877,13.29
326.876,13.28
327.876,13.28
328.876,13.26
329.876,13.25
330.877,13.24
331.877,13.23
332.877,13.23
333.877,13.22
334.876,13.21
335.877,13.2
336.877,13.19
337.877,13.18
338.876,13.17
339.877,13.16
340.876,13.15
341.876,13.15
342.876,13.14
343.877,13.13
344.876,13.12
345.877,13.11
346.876,13.1
347.877,13.09
348.877,13.07
349.877,13.08
350.877,13.07
351.877,13.06
352.876,13.04
353.877,13.04
354.877,13.03
355.877,13.02
356.876,13.02
357.876,13.01
358.876,12.99
359.876,12.98
360.876,12.97
361.877,12.96
362.877,12.95
363.876,12.94
364.877,12.93
365.877,12.91
366.877,12.9
367.877,12.89
368.877,12.88
369.877,12.87
370.876,12.86
371.876,12.85
372.877,12.84
373.876,12.83
374.877,12.82
375.876,12.81
376.876,12.8
377.877,12.79
378.879,12.78
379.876,12.77
380.876,12.76
381.877,12.75
382.877,12.74
383.876,12.74
384.877,12.72
385.877,12.72
386.876,12.71
387.876,12.69
388.876,12.69
389.877,12.67
390.876,12.67
391.876,12.66
392.876,12.65
393.877,12.64
394.877,12.63
395.877,12.62
396.877,12.61
397.877,12.6
398.876,12.59
399.876,12.57
400.876,12.56
401.876,12.55
402.876,12.54
403.876,12.53
404.876,12.52
405.877,12.52
406.876,12.51
407.877,12.5
408.876,12.49
409.876,12.48
410.877,12.48
411.877,12.47
412.877,12.47
413.876,12.45
414.877,12.45
415.877,12.44
416.877,12.44
417.877,12.43
418.877,12.42
419.877,12.42
420.877,12.41
421.876,12.4
422.877,12.4
423.877,12.39
424.877,12.38
425.876,12.37
426.877,12.37
427.877,12.36
428.877,12.35
429.877,12.34
430.876,12.33
431.877,12.33
432.877,12.32
433.877,12.31
434.876,12.3
435.877,12.3
436.877,12.29
437.877,12.28
438.876,12.27
439.876,12.26
440.877,12.26
441.877,12.25
442.876,12.24
443.877,12.24
444.877,12.23
445.876,12.22
446.877,12.22
447.877,12.21
448.877,12.2
449.876,12.19
450.876,12.18
451.876,12.17
452.877,12.16
453.877,12.16
454.876,12.15
455.876,12.14
456.876,12.13
457.876,12.12
