t (ms),V (mV)
142.901,14.99
143.902,14.97
144.901,14.96
145.902,14.95
146.901,14.94
147.902,14.92
148.901,14.91
149.901,14.89
150.902,14.88
151.901,14.87
152.902,14.85
153.901,14.83
154.901,14.82
155.902,14.81
156.901,14.79
157.901,14.78
158.901,14.76
159.902,14.75
160.901,14.73
161.902,14.72
162.901,14.7
163.902,14.69
164.901,14.67
165.901,14.66
166.902,14.65
167.901,14.63
168.901,14.62
169.902,14.6
170.901,14.59
171.901,14.57
172.902,14.56
173.902,14.54
174.904,14.51
175.901,14.51
176.902,14.5
177.901,14.48
178.902,14.47
179.902,14.45
180.901,14.44
181.902,14.42
182.902,14.41
183.901,14.39
184.901,14.37
185.902,14.36
186.901,14.34
187.902,14.33
188.901,14.31
189.902,14.3
190.902,14.28
191.902,14.27
192.901,14.25
193.902,14.24
194.901,14.22
195.901,14.21
196.901,14.19
197.902,14.18
198.902,14.17
199.901,14.14
200.901,14.13
201.901,14.11
202.902,14.1
203.902,14.09
204.902,14.07
205.902,14.06
206.901,14.04
207.902,14.03
208.902,14.02
209.901,14
210.902,13.99
211.901,13.97
212.902,13.96
213.901,13.94
214.901,13.93
215.902,13.92
216.902,13.91
217.902,13.89
218.902,13.88
219.902,13.87
220.902,13.85
221.902,13.84
222.901,13.82
223.901,13.8
224.902,13.8
225.902,13.78
226.902,13.77
227.902,13.76
228.902,13.74
229.902,13.73
230.901,13.71
231.902,13.7
232.902,13.69
233.902,13.68
234.901,13.66
235.902,13.65
236.902,13.64
237.901,13.62
238.902,13.61
239.902,13.6
240.902,13.59
241.901,13.57
242.901,13.56
243.902,13.55
244.901,13.52
245.902,13.52
246.9,13.49
247.902,13.49
248.901,13.47
249.901,13.45
250.901,13.44
251.901,13.43
252.902,13.42
253.901,13.4
254.901,13.39
255.902,13.38
256.902,13.37
257.902,13.35
258.902,13.34
259.901,13.32
260.901,13.3
261.901,13.29
262.901,13.27
263.902,13.27
264.901,13.25
265.904,13.26
266.902,13.23
267.902,13.22
268.902,13.2
269.902,13.19
270.901,13.18
271.902,13.17
272.902,13.16
273.901,13.14
274.902,13.13
275.902,13.12
276.901,13.1
277.901,13.09
278.901,13.08
279.902,13.07
280.901,13.06
281.902,13.05
282.902,13.04
283.902,13.03
284.901,13.01
285.901,13
286.902,12.99
287.901,12.97
288.901,12.96
289.901,12.95
290.901,12.94
291.902,12.93
292.901,12.91
293.901,12.9
294.901,12.89
295.901,12.88
296.901,12.87
297.901,12.86
298.902,12.85
299.901,12.83
300.901,12.82
301.901,12.81
302.902,12.8
303.902,12.79
304.901,12.77
305.901,12.76
306.902,12.75
307.901,12.73
308.901,12.72
309.902,12.71
310.902,12.7
311.902,12.68
312.902,12.67
313.902,12.66
314.902,12.65
315.901,12.64
316.901,12.62
317.902,12.61
318.901,12.6
319.901,12.58
320.902,12.57
321.901,12.56
322.901,12.54
323.901,12.53
324.902,12.52
325.901,12.51
326.901,12.5
327.902,12.48
328.905,12.43
329.902,12.45
330.901,12.44
331.901,12.43
332.902,12.42
333.902,12.41
334.902,12.4
335.902,12.39
336.901,12.37
337.901,12.36
338.901,12.35
339.902,12.34
340.902,12.33
341.901,12.31
342.902,12.3
343.901,12.28
344.901,12.27
345.902,12.26
346.901,12.24
347.902,12.23
348.901,12.21
349.902,12.2
350.901,12.18
351.901,12.17
352.902,12.16
353.901,12.14
354.902,12.13
355.901,12.11
356.902,12.1
357.901,12.08
358.902,12.07
359.902,12.06
360.902,12.05
361.902,12.03
362.902,12.02
363.901,11.99
364.902,11.98
365.902,11.97
366.902,11.96
367.901,11.93
368.901,11.92
369.902,11.91
370.902,11.9
371.901,11.88
372.901,11.86
373.902,11.86
374.902,11.84
375.905,11.87
376.902,11.82
377.901,11.8
378.902,11.79
379.903,11.78
380.902,11.77
381.901,11.75
382.901,11.74
383.902,11.73
384.902,11.72
385.901,11.71
386.902,11.7
387.902,11.69
388.902,11.68
389.901,11.67
390.902,11.66
391.902,11.65
392.902,11.63
393.901,11.63
394.901,11.63
395.902,11.61
396.901,11.6
397.902,11.59
398.902,11.58
399.903,11.57
400.902,11.56
401.901,11.54
402.902,11.54
403.902,11.52
404.903,11.51
405.901,11.51
406.902,11.5
407.901,11.48
408.901,11.47
409.901,11.46
410.902,11.45
411.902,11.44
412.901,11.43
413.902,11.42
414.902,11.41
415.902,11.4
416.902,11.39
417.902,11.38
418.902,11.37
419.902,11.35
420.902,11.34
421.902,11.33
422.901,11.32
423.902,11.31
424.901,11.3
425.901,11.29
426.901,11.28
427.901,11.26
428.902,11.26
429.902,11.24
430.902,11.23
431.901,11.22
432.901,11.21
433.901,11.2
434.902,11.19
435.902,11.17
436.902,11.16
437.901,11.15
438.902,11.14
439.902,11.13
440.902,11.12
441.902,11.11
442.901,11.11
443.902,11.1
444.901,11.09
445.901,11.08
446.902,11.07
447.902,11.06
448.901,11.06
449.901,11.05
450.901,11.04
451.901,11.03
452.902,11.03
453.901,11.02
454.902,11.02
455.902,11
456.902,10.99
457.901,11
458.901,10.99
459.901,10.98
460.902,10.96
461.902,10.97
462.901,10.96
463.902,10.96
464.902,10.95
465.901,10.94
466.901,10.93
467.902,10.92
468.901,10.91
469.902,10.9
470.901,10.88
471.901,10.87
472.902,10.86
473.901,10.84
474.901,10.83
475.902,10.82
476.901,10.8
477.902,10.79
478.901,10.77
479.902,10.76
480.902,10.74
481.902,10.73
482.902,10.72
483.901,10.69
484.902,10.68
485.901,10.66
486.902,10.65
487.902,10.64
488.901,10.62
489.902,10.61
490.901,10.6
491.9,10.58
492.9,10.57
493.9,10.56
494.901,10.55
495.9,10.54
496.901,10.53
497.9,10.52
498.9,10.51
499.9,10.5
500.9,10.49
501.9,10.49
502.9,10.47
503.9,10.46
504.901,10.45
505.901,10.44
506.9,10.43
507.901,10.42
508.9,10.41
509.9,10.4
510.9,10.39
511.901,10.38
512.9,10.36
513.9,10.35
514.901,10.35
515.9,10.34
516.901,10.33
517.901,10.32
518.901,10.32
519.9,10.3
520.9,10.3
521.9,10.29
522.901,10.29
523.901,10.29
524.901,10.29
525.9,10.27
526.901,10.27
527.901,10.27
528.901,10.26
529.901,10.26
530.901,10.25
531.9,10.23
532.9,10.23
533.901,10.23
534.901,10.22
535.9,10.2
536.9,10.2
537.901,10.19
538.901,10.19
539.901,10.18
540.9,10.16
541.901,10.16
542.9,10.14
543.9,10.13
544.9,10.13
545.901,10.12
546.9,10.11
547.9,10.1
548.9,10.08
549.901,10.08
550.9,10.07
551.901,10.07
552.9,10.05
553.901,10.05
554.9,10.03
555.9,10.02
556.901,10.02
557.901,10.01
558.901,10
559.901,9.99
