t (ms),V (mV)
0,17.85
0.951,17.86
1.902,17.79
2.901,17.77
3.901,17.75
4.901,17.73
5.901,17.71
6.901,17.69
7.901,17.66
8.901,17.63
9.902,17.6
10.902,17.59
11.902,17.55
12.902,17.53
13.902,17.5
14.901,17.47
15.902,17.45
16.902,17.41
17.901,17.39
18.901,17.36
19.902,17.33
20.902,17.31
21.901,17.28
22.902,17.26
23.902,17.24
24.902,17.22
25.901,17.2
26.902,17.18
27.902,17.16
28.901,17.13
29.901,17.11
30.901,17.09
31.901,17.07
32.901,17.05
33.901,17.03
34.901,17.01
35.902,16.99
36.902,16.98
37.902,16.95
38.902,16.94
39.902,16.91
40.902,16.89
41.902,16.88
42.902,16.85
43.901,16.83
44.901,16.81
45.901,16.79
46.901,16.77
47.902,16.75
48.902,16.73
49.901,16.7
50.901,16.68
51.901,16.66
52.902,16.65
53.901,16.62
54.901,16.6
55.901,16.58
56.901,16.56
57.902,16.55
58.902,16.53
59.901,16.5
60.902,16.49
61.902,16.47
62.901,16.44
63.902,16.42
64.901,16.4
65.902,16.39
66.902,16.36
67.901,16.34
68.902,16.32
69.902,16.28
70.901,16.25
71.902,16.23
72.902,16.21
73.902,16.19
74.9,16.15
75.901,16.14
76.904,16.14
77.902,16.1
78.902,16.08
79.901,16.05
80.902,16.04
81.901,16.01
82.902,15.99
83.902,15.97
84.902,15.95
85.902,15.92
86.902,15.9
87.901,15.87
88.901,15.85
89.902,15.83
90.902,15.81
91.901,15.77
92.901,15.76
93.901,15.74
94.901,15.72
95.901,15.7
96.902,15.69
97.901,15.67
98.902,15.65
99.901,15.63
100.901,15.61
101.901,15.59
102.901,15.58
103.902,15.56
104.902,15.54
105.902,15.53
106.901,15.51
107.902,15.49
108.902,15.48
109.901,15.46
110.902,15.44
111.901,15.43
112.901,15.41
113.901,15.39
114.902,15.38
115.902,15.36
116.902,15.34
117.902,15.33
118.901,15.32
119.902,15.31
120.902,15.29
121.902,15.28
122.902,15.26
123.902,15.25
124.901,15.24
125.901,15.23
126.902,15.21
127.902,15.2
128.902,15.18
129.901,15.17
130.901,15.15
131.901,15.14
132.902,15.12
133.901,15.11
134.902,15.09
135.901,15.08
136.901,15.07
137.902,15.05
138.901,15.04
139.901,15.03
140.901,15.02
141.902,14.99
